window,train_end,test_end,n_train,n_test,auc,name,n_bets,win_rate,avg_odds,avg_edge,pnl,roi
18,2024-07-01,2025-01-01,424939,110375,0.8024524088536866,HIGH_EDGE,21,0.2857142857142857,4.371428571428572,0.1263112260886005,-1.8999999999999995,-0.09047619047619045
18,2024-07-01,2025-01-01,424939,110375,0.8024524088536866,MED_EDGE,142,0.20422535211267606,5.579577464788732,0.07498331390635964,-38.5,-0.2711267605633803
18,2024-07-01,2025-01-01,424939,110375,0.8024524088536866,LOW_EDGE,856,0.18691588785046728,7.1664135514018685,0.03802106929178062,51.09999999999999,0.05969626168224298
18,2024-07-01,2025-01-01,424939,110375,0.8024524088536866,CONF_HIGH,686,0.37900874635568516,3.066034985422741,0.02419561822932819,31.1,0.04533527696793003
18,2024-07-01,2025-01-01,424939,110375,0.8024524088536866,OUTSIDER_HE,38,0.02631578947368421,13.65,0.06978045788340687,-20.7,-0.5447368421052632
18,2024-07-01,2025-01-01,424939,110375,0.8024524088536866,EXTREME_HE,8,0.375,6.387500000000001,0.16197580608881484,1.5000000000000004,0.18750000000000006
19,2025-01-01,2025-07-01,430195,112460,0.8050127143849347,ALL_FAVORITES,7674,0.3329424029189471,3.018041438623925,-0.0440901679154439,-981.7999999999998,-0.12793849361480322
19,2025-01-01,2025-07-01,430195,112460,0.8050127143849347,HIGH_EDGE,18,0.2777777777777778,3.511111111111111,0.12226576582920282,0.20000000000000018,0.01111111111111112
19,2025-01-01,2025-07-01,430195,112460,0.8050127143849347,MED_EDGE,150,0.26666666666666666,4.506,0.07331019571177007,9.4,0.06266666666666666
19,2025-01-01,2025-07-01,430195,112460,0.8050127143849347,LOW_EDGE,853,0.19929660023446658,6.606799531066823,0.03827803802202891,-37.599999999999994,-0.04407971864009378
19,2025-01-01,2025-07-01,430195,112460,0.8050127143849347,CONF_HIGH,882,0.35374149659863946,2.9622448979591836,0.026041870204463424,-30.799999999999997,-0.034920634920634915
19,2025-01-01,2025-07-01,430195,112460,0.8050127143849347,OUTSIDER_HE,19,0.05263157894736842,14.847368421052632,0.06142569119691725,-9.7,-0.5105263157894736
19,2025-01-01,2025-07-01,430195,112460,0.8050127143849347,EXTREME_HE,1,1.0,3.2,0.1584552320185179,2.2,2.2
20,2025-07-01,2026-01-01,438397,111517,0.8005955365143148,ALL_FAVORITES,7893,0.325224882807551,3.0663816039528693,-0.05372158128769468,-1071.2,-0.1357151906752819
20,2025-07-01,2026-01-01,438397,111517,0.8005955365143148,HIGH_EDGE,1,0.0,3.1,0.14461371471104956,-1.0,-1.0
20,2025-07-01,2026-01-01,438397,111517,0.8005955365143148,MED_EDGE,23,0.13043478260869565,5.956521739130435,0.06761470871266298,-13.3,-0.5782608695652174
20,2025-07-01,2026-01-01,438397,111517,0.8005955365143148,LOW_EDGE,306,0.16993464052287582,8.024836601307191,0.03259226556409587,-38.99999999999999,-0.12745098039215683
20,2025-07-01,2026-01-01,438397,111517,0.8005955365143148,CONF_HIGH,328,0.3231707317073171,3.104268292682927,0.018130450439261765,-19.5,-0.05945121951219512
20,2025-07-01,2026-01-01,438397,111517,0.8005955365143148,OUTSIDER_HE,7,0.0,12.328571428571427,0.06729763089737457,-7.0,-1.0
20,2025-07-01,2026-01-01,438397,111517,0.8005955365143148,EXTREME_HE,0,0.0,0.0,0.0,0.0,0.0
