DATE,PRIX,HIPPODROME,ARRIVEE
02/08/2010,PRIX DU PONT DE TANCARVILLE,Clairefontaine,15 - 7 - 16 - 3 - 17
03/08/2010,PRIX DU HAVRE,Deauville,1 - 6 - 3 - 12 - 14
04/08/2010,PRIX DU PARC DES PRINCES,Enghien,5 - 4 - 10 - 2 - 13
05/08/2010,PRIX D'ALENCON,Deauville,4 - 5 - 16 - 14 - 3
06/08/2010,PRIX DU CONSEIL GENERAL,Cabourg,1 - 5 - 11 - 10 - 14
07/08/2010,PRIX GUILLAUME D'ORNANO,Clairefontaine,18 - 2 - 1 - 4 - 7
08/08/2010,PRIX DE PONT L'EVEQUE,Deauville,10 - 5 - 12 - 16 - 15
09/08/2010,PRIX DE LA COTE FLEURIE,Clairefontaine,7 - 15 - 16 - 2 - 4
10/08/2010,PRIX D'OMAHA BEACH,Deauville,6 - 2 - 15 - 4 - 1
11/08/2010,GRAND NATIONAL DU TROT,Saint-malo,4 - 8 - 9 - 1 - 5
12/08/2010,PRIX DE LA CONCORDE,Enghien,10 - 15 - 7 - 4 - 11
13/08/2010,PRIX BRUNO COQUATRIX,Cabourg,3 - 4 - 15 - 6 - 11
14/08/2010,PRIX DU JOCKEY CLUB DE HONG KONG,Deauville,7 - 13 - 8 - 1 - 3
15/08/2010,GRAND HANDICAP DE DEAUVILLE,Deauville,19 - 20 - 17 - 7 - 1
16/08/2010,GRAND PRIX DE CHATEAUBRIANT,Chateaubriant,6 - 9 - 12 - 11 - 16
17/08/2010,PRIX DICTUS,Clairefontaine,14 - 2 - 8 - 16 - 9
18/08/2010,PRIX JEAN-LUC LAGARDERE,Enghien,9 - 10 - 6 - 13 - 2
19/08/2010,PRIX CARLING,Clairefontaine,15 - 12 - 3 - 2 - 13
20/08/2010,PRIX DES CARDAMINES,Cabourg,12 - 13 - 3 - 15 - 2
21/08/2010,PRIX DE CAGNY,Deauville,7 - 2 - 10 - 12 - 17
22/08/2010,GRAND HANDICAP DE LA MANCHE,Deauville,2 - 17 - 6 - 9 - 15
23/08/2010,PRIX DE BEAUNE,Vincennes,8 - 10 - 2 - 14 - 7
24/08/2010,GRAND PRIX DE LA VILLE DE TOURGEVILLE,Clairefontaine,10 - 5 - 9 - 2 - 11
25/08/2010,PRIX DE CHATEAU DU LOIR,Vincennes,9 - 2 - 5 - 3 - 7
26/08/2010,PRIX DE LA BARBERIE,Deauville,11 - 10 - 14 - 8 - 15
27/08/2010,PRIX DES AUBRIETES,Cabourg,12 - 13 - 14 - 7 - 1
28/08/2010,PRIX DE JERSEY,Clairefontaine,11 - 14 - 3 - 5 - 1
29/08/2010,PRIX DES MONCEAUX,Deauville,3 - 6 - 4 - 10 - 5
30/08/2010,PRIX DE MORTAIN,Vincennes,7 - 15 - 5 - 12 - 9
31/08/2010,PRIX DE LA SUISSE NORMANDE,Deauville,2 - 5 - 4 - 9 - 16
